Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"76028, Burleson, TX",76028,"62,153",639,808,"1,991","2,529","56,044","49,585","7,562","54,591",49,62,19,"5,296",458,"96,104.17 ","79,721.00 ","33,982.00 ",166,"20,249","1,881",446,8,2,16,"1,354",55,164
"76031, Cleburne, TX",76031,"17,613",280,244,672,568,"14,560","11,316","5,131","12,482",35,46,7,"3,385",239,"65,142.27 ","52,102.00 ","22,386.00 ",60,"5,088","1,215",360,9,3,17,798,28,57
"76033, Cleburne, TX",76033,"25,547",247,239,656,624,"22,276","18,586","5,605","19,942",26,52,6,"3,703",298,"71,891.40 ","59,412.00 ","26,935.00 ",69,"8,525","1,411",398,6,3,16,945,43,66
"76034, Colleyville, TX",76034,"22,557","1,398","1,514",491,528,"19,953","18,738","1,227","21,330",8,6,12,995,68,"197,366.61 ","164,343.00 ","68,812.00 ",397,"7,141",310,37,1,3,2,251,16,394
"76035, Cresson, TX",76035,"1,721",12,19,12,21,"1,605","1,452",177,"1,544",0,3,1,113,8,"109,826.63 ","80,435.00 ","39,247.00 ",3,579,39,13,0,0,1,24,1,3
"76036, Crowley, TX",76036,"23,959",477,532,"3,356","3,851","18,112","14,706","4,201","19,758",70,45,23,"2,665",243,"86,896.10 ","76,064.00 ","30,213.00 ",118,"6,673","1,055",314,14,2,8,679,38,116
"76039, Euless, TX",76039,"36,770","5,010","5,387","3,614","3,825","24,932","19,568","6,740","30,030",116,56,83,"4,469",389,"84,384.28 ","69,724.00 ","36,783.00 ","1,621","11,727","2,251",545,39,11,17,"1,531",108,"1,610"
"76040, Euless, TX",76040,"27,265","3,646","3,785","4,969","5,083","15,723","11,522","5,953","21,312",139,68,50,"3,712",362,"67,977.10 ","55,257.00 ","26,887.00 ","1,015","6,844","1,844",501,47,12,16,"1,171",97,"1,003"
"76041, Forreston, TX",76041,421,2,2,22,24,351,280,108,313,1,1,0,67,6,"78,377.91 ","63,816.00 ","27,240.00 ",1,126,27,8,0,0,0,17,2,1
"76044, Godley, TX",76044,"4,512",14,11,27,31,"4,131","3,739",593,"3,919",5,9,6,338,42,"87,899.75 ","65,773.00 ","30,905.00 ",5,"1,476",147,56,2,2,2,83,2,3
"76048, Granbury, TX",76048,"23,004",136,197,152,192,"21,106","18,846","3,138","19,866",30,50,11,"1,887",118,"68,469.40 ","52,974.00 ","28,842.00 ",45,"8,813",696,236,8,2,15,410,25,43
"76049, Granbury, TX",76049,"25,418",131,203,96,144,"23,995","22,101","2,326","23,092",11,28,11,"1,488",103,"95,952.10 ","71,900.00 ","38,860.00 ",34,"9,834",493,151,1,3,7,307,24,31
"76051, Grapevine, TX",76051,"48,499","2,398","2,760","1,746","1,923","39,752","33,875","8,769","39,730",124,124,71,"4,960",380,"106,677.71 ","84,682.00 ","42,517.00 ",744,"16,500","2,481",846,35,15,28,"1,473",84,729
"76052, Haslet, TX",76052,"16,367",325,457,790,"1,103","14,139","12,062","2,173","14,194",22,28,7,"1,429",167,"111,362.09 ","103,155.00 ","34,993.00 ",87,"4,544",542,146,4,2,7,360,23,85
"76053, Hurst, TX",76053,"31,150","1,148","1,336","2,562","2,913","23,692","17,910","7,874","23,276",108,54,23,"4,936",418,"67,551.07 ","54,668.00 ","26,489.00 ",346,"9,836","2,122",622,22,6,15,"1,356",101,340
"76054, Hurst, TX",76054,"12,533",495,566,327,370,"11,286","10,383",932,"11,601",8,17,7,736,41,"120,902.51 ","105,861.00 ","47,085.00 ",158,"4,450",272,47,3,2,3,211,6,156
"76058, Joshua, TX",76058,"17,722",81,94,191,220,"16,081","14,029","2,919","14,803",8,31,3,"1,923",140,"75,884.85 ","60,280.00 ","25,331.00 ",17,"5,475",682,185,3,0,7,471,16,17
"76059, Keene, TX",76059,"5,044",376,334,269,220,"3,744","2,779","1,597","3,447",25,8,4,"1,039",84,"61,584.44 ","46,333.00 ","20,605.00 ",79,"1,263",440,126,6,1,4,290,13,78
"76060, Kennedale, TX",76060,"7,461",317,388,673,816,"5,991","5,013","1,037","6,424",11,14,2,711,47,"95,421.33 ","82,585.00 ","34,695.00 ",82,"2,250",282,70,3,0,3,193,13,82
"76061, Lillian, TX",76061,4,0,0,0,0,4,3,1,3,0,0,0,1,0,"86,400.00 ","87,500.00 ","21,788.00 ",0,1,0,0,0,0,0,0,0,0
"76063, Mansfield, TX",76063,"65,671","2,492","2,767","9,273","10,324","48,717","39,885","10,836","54,835",164,135,51,"7,072",508,"115,359.36 ","98,538.00 ","37,906.00 ",635,"16,710","2,598",724,28,7,26,"1,725",88,628
"76064, Maypearl, TX",76064,"1,745",5,6,99,123,"1,526","1,284",278,"1,467",1,4,0,206,5,"88,603.27 ","75,556.00 ","28,840.00 ",1,499,62,15,0,0,1,45,1,1
"76065, Midlothian, TX",76065,"31,124",258,295,"1,277","1,507","27,577","24,024","4,556","26,568",66,46,21,"3,054",253,"106,179.57 ","89,087.00 ","35,630.00 ",57,"9,460","1,116",289,12,6,11,753,45,51
"76070, Nemo, TX",76070,603,3,11,3,11,561,500,65,538,1,1,1,30,13,"101,503.86 ","89,352.00 ","38,211.00 ",2,216,14,5,0,0,1,6,2,2
"76071, Newark, TX",76071,"3,784",30,58,25,45,"3,408","2,951",522,"3,262",4,6,3,290,42,"82,056.85 ","63,417.00 ","29,210.00 ",9,"1,253",122,42,2,1,1,69,7,8
"76073, Paradise, TX",76073,"5,959",13,26,22,43,"5,618","5,031",603,"5,356",4,4,2,399,19,"81,093.71 ","70,157.00 ","29,218.00 ",4,"2,057",152,43,0,0,1,104,4,4
"76077, Rainbow, TX",76077,487,4,0,4,0,413,329,134,353,4,2,4,61,10,"76,041.07 ","52,083.00 ","27,909.00 ",1,152,30,13,0,1,1,13,2,0
"76078, Rhome, TX",76078,"9,210",33,46,89,147,"8,139","6,947","1,520","7,690",18,25,11,808,121,"83,363.06 ","71,350.00 ","28,457.00 ",8,"2,878",371,127,4,2,6,196,36,6
"76082, Springtown, TX",76082,"18,306",55,98,94,146,"17,176","15,447","1,845","16,461",16,22,3,"1,255",105,"75,559.78 ","62,414.00 ","26,815.00 ",9,"6,177",403,101,6,1,3,277,15,8
"76084, Venus, TX",76084,"7,953",136,134,358,347,"6,567","5,285","1,983","5,970",12,27,2,"1,281",103,"82,748.59 ","69,565.00 ","25,670.00 ",35,"2,066",406,134,4,1,7,249,11,34
"76085, Weatherford, TX",76085,"11,003",45,77,114,176,"10,182","8,940","1,426","9,577",18,17,3,953,63,"79,873.61 ","64,978.00 ","28,584.00 ",6,"3,669",314,87,2,0,5,210,10,6
"76086, Weatherford, TX",76086,"19,469",185,252,552,739,"17,445","14,934","3,021","16,448",36,39,9,"2,055",140,"63,599.22 ","50,131.00 ","26,276.00 ",47,"7,053",713,196,3,1,8,478,27,46
"76087, Weatherford, TX",76087,"27,135",228,366,218,341,"25,316","22,954","2,745","24,390",14,45,9,"1,786",122,"102,323.45 ","87,115.00 ","37,888.00 ",39,"9,530",635,190,1,1,7,416,20,38
"76088, Weatherford, TX",76088,"13,017",39,43,578,722,"11,546","10,401","1,617","11,400",43,15,7,887,49,"93,171.83 ","76,737.00 ","31,648.00 ",8,"4,148",286,77,0,1,2,197,9,7
"76092, Southlake, TX",76092,"28,536","1,954","2,095",684,717,"24,872","23,215","1,808","26,728",22,18,19,"1,389",87,"221,013.49 ","198,484.00 ","68,078.00 ",506,"7,901",387,63,5,4,3,303,9,502
"76102, Fort Worth, TX",76102,"8,266",154,149,"2,526","2,517","4,948","3,853","1,633","6,633",50,14,7,"1,050",74,"82,542.31 ","53,004.00 ","36,473.00 ",72,"2,206",492,140,7,2,6,315,22,70
"76103, Fort Worth, TX",76103,"15,672",518,464,"3,501","3,285","8,390","4,530","7,119","8,553",111,58,39,"3,989",312,"58,044.93 ","44,802.00 ","20,978.00 ",146,"3,228","1,734",653,16,4,12,965,84,142
"76104, Fort Worth, TX",76104,"17,575",276,219,"8,617","8,107","5,629","2,257","6,781","10,794",227,74,49,"3,670",314,"40,046.77 ","24,745.00 ","15,028.00 ",89,"1,935","1,644",614,50,6,20,887,67,83
"76105, Fort Worth, TX",76105,"24,806",134,89,"10,226","9,286","9,095","1,229","13,999","10,807",291,123,39,"8,536",560,"38,038.66 ","29,598.00 ","11,212.00 ",30,"2,140","3,093","1,001",44,2,20,"1,894",132,28
"76106, Fort Worth, TX",76106,"37,389",133,53,"2,427","1,450","23,559","3,811","31,625","5,764",197,224,51,"20,800","1,165","42,666.19 ","33,359.00 ","11,964.00 ",33,"6,481","7,787","2,266",42,9,57,"5,072",341,24
"76107, Fort Worth, TX",76107,"26,920",468,449,"4,094","4,158","19,693","14,994","6,788","20,132",94,56,36,"4,505",299,"92,207.10 ","58,542.00 ","43,949.00 ",241,"9,876","2,162",527,25,6,18,"1,494",92,235
"76108, Fort Worth, TX",76108,"41,503",933,"1,165","2,565","3,236","34,286","26,933","8,791","32,712",93,111,43,"5,989",440,"83,267.17 ","67,833.00 ","30,939.00 ",290,"13,019","2,297",584,12,4,29,"1,574",94,286
"76109, Fort Worth, TX",76109,"25,739",870,988,"1,311","1,487","22,367","20,097","2,645","23,094",40,28,26,"1,833",140,"106,899.28 ","68,432.00 ","44,391.00 ",324,"9,301",878,215,9,4,14,594,42,320
"76110, Fort Worth, TX",76110,"32,836",756,573,"1,760","1,314","21,685","8,582","21,873","10,963",137,239,48,"13,664",792,"63,041.16 ","42,851.00 ","20,360.00 ",244,"7,431","5,442","1,745",24,8,38,"3,424",203,236
"76111, Fort Worth, TX",76111,"22,764","1,087",871,"1,131",884,"14,224","5,362","15,323","7,441",75,134,46,"9,267",570,"59,776.95 ","46,629.00 ","18,279.00 ",309,"4,658","3,561","1,232",14,5,23,"2,121",166,304
"76112, Fort Worth, TX",76112,"40,577","1,026",978,"19,858","19,579","15,625","9,840","9,363","31,214",317,65,50,"5,744",505,"61,304.43 ","44,548.00 ","24,544.00 ",306,"6,829","2,635",732,82,5,16,"1,667",133,301
"76114, Fort Worth, TX",76114,"26,800",207,218,810,910,"21,173","12,096","12,996","13,804",55,144,26,"8,787",401,"55,731.36 ","43,862.00 ","19,998.00 ",61,"7,846","3,243",893,9,2,30,"2,204",105,59
"76115, Fort Worth, TX",76115,"22,210",731,524,"1,852","1,338","13,386","3,114","16,969","5,241",120,161,53,"10,898",544,"39,272.04 ","30,367.00 ","11,205.00 ",210,"3,815","4,050","1,262",20,6,33,"2,574",155,204
"76116, Fort Worth, TX",76116,"48,591",934,960,"6,186","6,563","34,976","26,399","13,530","35,061",208,164,59,"7,806",694,"65,317.10 ","47,061.00 ","29,153.00 ",414,"16,713","3,981","1,325",46,14,33,"2,364",199,400
"76117, Haltom City, TX",76117,"32,800","2,740","2,820","1,128","1,071","22,876","14,208","14,094","18,706",120,208,86,"8,404",662,"56,568.00 ","45,738.00 ","20,259.00 ",863,"8,785","3,560","1,183",22,13,40,"2,126",176,850
"76118, Fort Worth, TX",76118,"13,811",990,"1,161","1,090","1,270","10,275","8,184","2,706","11,105",27,25,18,"1,616",213,"86,541.36 ","71,134.00 ","31,837.00 ",252,"4,065",721,237,4,4,4,437,35,248
"76119, Fort Worth, TX",76119,"45,423","1,109",950,"21,226","19,742","14,262","4,699","19,614","25,809",433,317,108,"10,688",858,"44,706.08 ","32,547.00 ","14,551.00 ",252,"4,077","4,379","1,736",81,16,63,"2,302",181,236
"76120, Fort Worth, TX",76120,"16,611",775,766,"7,464","7,508","6,806","4,986","2,924","13,687",101,27,24,"1,652",200,"68,243.23 ","51,600.00 ","29,136.00 ",234,"3,142",879,277,31,3,6,513,49,231
"76123, Fort Worth, TX",76123,"30,933","2,190","2,170","11,469","11,455","14,060","9,703","6,761","24,172",222,63,59,"4,095",378,"102,104.67 ","89,758.00 ","31,817.00 ",631,"4,728","1,638",484,47,8,7,"1,017",75,623
"76126, Fort Worth, TX",76126,"20,898",427,572,641,851,"18,765","16,626","2,266","18,632",29,24,15,"1,578",103,"102,823.98 ","83,193.00 ","42,044.00 ",123,"7,851",637,149,6,3,4,457,18,120
"76127, Naval Air Station/ Jrb, TX",76127,763,8,6,129,130,536,337,258,505,4,4,2,194,7,"98,941.47 ","71,429.00 ","26,159.00 ",1,99,25,3,0,0,0,21,1,1
"76129, Fort Worth, TX",76129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"76131, Fort Worth, TX",76131,"29,186","1,609","1,780","3,105","3,351","20,785","14,641","8,395","20,791",131,79,29,"5,453",458,"93,798.97 ","79,722.00 ","29,539.00 ",451,"6,908","2,042",589,24,1,19,"1,317",92,450
"76132, Fort Worth, TX",76132,"26,628","1,477","1,583","4,894","5,195","18,237","15,185","4,026","22,602",107,37,19,"2,468",252,"88,918.25 ","55,669.00 ","44,399.00 ",552,"9,405","1,602",487,45,4,14,981,71,548
"76133, Fort Worth, TX",76133,"51,974","1,651","1,644","12,062","12,195","31,683","20,877","16,157","35,817",248,191,58,"10,339",674,"71,828.91 ","58,945.00 ","27,230.00 ",506,"12,908","4,219","1,230",48,10,36,"2,724",171,496
"76134, Fort Worth, TX",76134,"24,898",609,564,"9,386","9,050","11,773","6,238","8,543","16,355",189,111,36,"5,699",274,"67,298.91 ","57,484.00 ","23,156.00 ",173,"4,307","2,165",559,39,3,18,"1,484",62,170
"76135, Fort Worth, TX",76135,"20,882",387,513,942,"1,244","17,457","13,578","4,769","16,113",50,91,19,"3,162",234,"73,990.31 ","57,846.00 ","27,684.00 ",124,"6,710","1,307",343,8,4,19,872,61,120
"76137, Fort Worth, TX",76137,"58,021","5,510","6,187","5,146","5,642","41,326","31,439","12,912","45,109",187,146,71,"8,233",759,"91,180.35 ","77,301.00 ","32,541.00 ","1,556","15,692","3,499",997,30,10,40,"2,254",168,"1,546"
"76140, Fort Worth, TX",76140,"27,962",384,340,"10,444","10,186","13,421","7,972","8,965","18,997",165,92,41,"5,550",311,"70,136.02 ","57,082.00 ","22,625.00 ",108,"4,542","2,024",658,23,3,17,"1,263",60,105
"76148, Fort Worth, TX",76148,"24,879","1,219","1,595","1,038","1,306","20,623","15,949","5,155","19,724",63,80,28,"3,718",225,"74,938.49 ","67,188.00 ","26,182.00 ",355,"7,441","1,282",254,15,6,19,940,48,349
"76155, Fort Worth, TX",76155,"4,082",344,343,"1,607","1,574","1,750","1,159",889,"3,193",45,12,4,575,38,"63,745.14 ","49,546.00 ","38,041.00 ",197,"1,113",439,111,28,2,6,274,18,195
"76164, Fort Worth, TX",76164,"17,241",37,6,407,92,"12,643",897,"16,139","1,102",105,144,17,"12,215",392,"51,467.31 ","41,678.00 ","14,265.00 ",9,"3,446","4,253",851,22,4,26,"3,219",131,5
"76177, Fort Worth, TX",76177,"8,639",550,634,801,896,"6,518","5,110","1,681","6,958",42,9,13,"1,125",98,"103,335.52 ","90,691.00 ","35,956.00 ",146,"2,410",443,105,6,0,2,310,20,146
"76179, Fort Worth, TX",76179,"52,273","2,290","2,735","3,031","3,545","42,025","32,124","12,312","39,961",149,129,67,"8,435",594,"98,868.68 ","83,084.00 ","33,543.00 ",617,"14,972","3,097",770,23,14,26,"2,151",113,603
"76180, North Richland Hills, TX",76180,"36,111","1,264","1,567","2,266","2,754","29,205","23,579","7,043","29,068",94,101,28,"4,467",420,"75,509.86 ","59,873.00 ","31,136.00 ",412,"12,612","2,011",558,21,3,22,"1,304",103,409
"76182, North Richland Hills, TX",76182,"29,402",820,"1,073","1,060","1,331","26,072","22,992","3,195","26,207",59,30,12,"2,285",175,"110,768.72 ","93,608.00 ","40,274.00 ",239,"9,710",775,162,10,3,8,556,36,236
"76201, Denton, TX",76201,"26,156","2,282","2,294","2,790","2,749","18,209","15,289","4,843","21,313",77,72,18,"2,840",225,"42,882.02 ","27,508.00 ","18,971.00 ",899,"7,773","1,364",393,17,6,29,830,89,893
"76205, Denton, TX",76205,"21,622","1,098","1,089","3,534","3,476","14,592","11,940","4,331","17,291",69,28,12,"2,636",227,"63,830.04 ","42,632.00 ","26,234.00 ",400,"6,108","1,190",368,10,3,10,715,84,397
"76207, Denton, TX",76207,"12,219",330,343,"1,088","1,109","9,659","8,114","2,205","10,014",29,43,3,"1,458",97,"75,070.89 ","62,749.00 ","30,652.00 ",112,"4,108",591,151,3,0,8,403,26,112
"76208, Denton, TX",76208,"22,997",659,672,"1,956","1,937","17,466","13,564","5,910","17,087",84,96,10,"3,782",182,"90,036.49 ","71,696.00 ","31,903.00 ",190,"6,546","1,416",378,21,1,19,950,47,189
"76209, Denton, TX",76209,"25,291",477,460,"2,487","2,382","18,689","14,500","6,925","18,366",102,109,16,"4,194",311,"69,043.96 ","56,397.00 ","26,716.00 ",182,"7,693","1,725",513,24,3,25,"1,074",86,179
"76210, Denton, TX",76210,"44,515","1,669","1,770","3,552","3,720","34,998","30,366","6,857","37,658",85,112,19,"4,136",428,"108,423.06 ","93,102.00 ","36,667.00 ",442,"12,387","1,618",451,7,4,20,"1,032",104,438
"76225, Alvord, TX",76225,"3,054",7,16,14,38,"2,865","2,603",286,"2,768",2,6,2,149,11,"82,584.40 ","67,519.00 ","30,640.00 ",1,"1,081",77,32,1,1,2,38,3,0
"76226, Argyle, TX",76226,"21,395",633,749,637,739,"18,983","17,186","2,021","19,374",24,22,11,"1,425",118,"150,469.12 ","124,505.00 ","49,233.00 ",169,"6,353",462,89,1,2,5,342,23,167
"76227, Aubrey, TX",76227,"26,044",325,357,"1,724","1,911","22,030","19,339","3,412","22,632",41,37,11,"2,296",160,"96,334.20 ","86,149.00 ","32,704.00 ",82,"7,756",799,188,6,2,7,575,21,80
"76244, Keller, TX",76244,"62,167","4,341","5,094","4,864","5,606","48,418","38,870","10,438","51,729",201,94,103,"7,387",712,"112,421.16 ","101,222.00 ","35,659.00 ","1,179","16,017","2,583",518,43,17,22,"1,879",104,"1,162"
"76245, Gordonville, TX",76245,"1,863",0,0,13,15,"1,749","1,688",69,"1,794",2,3,0,33,6,"51,269.58 ","37,946.00 ","23,448.00 ",0,820,19,5,0,0,2,12,0,0
"76247, Justin, TX",76247,"16,300",270,301,776,862,"13,994","12,245","2,228","14,072",23,28,7,"1,518",145,"93,440.99 ","85,917.00 ","30,270.00 ",65,"4,695",504,111,1,1,8,356,27,64
"76248, Keller, TX",76248,"37,827","1,660","1,979","1,178","1,380","33,351","30,078","3,327","34,500",38,32,26,"2,503",241,"139,092.96 ","121,478.00 ","47,402.00 ",458,"11,554",818,127,12,6,7,621,45,452
"76249, Krum, TX",76249,"8,050",62,78,153,184,"7,185","6,271","1,196","6,854",11,11,2,780,45,"85,713.59 ","74,924.00 ","29,906.00 ",13,"2,579",293,86,2,0,3,193,9,13
"76262, Roanoke, TX",76262,"28,010",940,"1,099","1,052","1,212","24,396","21,893","2,919","25,091",21,52,6,"2,024",182,"126,952.11 ","96,623.00 ","46,247.00 ",274,"9,124",757,171,7,1,6,536,36,273
"76476, Tolar, TX",76476,"2,708",13,28,2,2,"2,574","2,427",161,"2,547",1,3,1,78,13,"71,409.27 ","58,470.00 ","27,327.00 ",3,987,30,15,0,0,0,13,2,3
"76490, Whitt, TX",76490,193,0,0,0,0,183,170,15,178,0,0,0,9,0,"86,853.26 ","62,500.00 ","34,201.00 ",0,74,4,2,0,0,0,2,0,0
"76623, Avalon, TX",76623,166,0,0,54,54,105,87,24,142,1,0,0,17,1,"82,578.72 ","77,500.00 ","31,367.00 ",0,35,4,1,0,0,0,3,0,0
"76651, Italy, TX",76651,"3,202",7,5,502,512,"2,373","1,934",684,"2,518",11,4,2,415,27,"70,163.13 ","58,658.00 ","25,338.00 ",4,887,176,50,3,0,1,112,10,4
